Classe,Filiere,Specialite,Matieres,Heures
Terminale,L,spe_LV3,EPS,2
Terminale,L,spe_LV3,EMC,1
Terminale,L,spe_LV3,Litterature,2
Terminale,L,spe_LV3,Litterature-etrangere,2
Terminale,L,spe_LV3,Histoire,2
Terminale,L,spe_LV3,Geographie,2
Terminale,L,spe_LV3,Philo,8
Terminale,L,spe_LV3,spe_LV3,3

Terminale,L,spe_LV1/LV2,LV1,2
Terminale,L,spe_LV1/LV2,LV2,2
Terminale,L,spe_LV1/LV2,EPS,2
Terminale,L,spe_LV1/LV2,EMC,1
Terminale,L,spe_LV1/LV2,Litterature,2
Terminale,L,spe_LV1/LV2,Litterature-etrangere,2
Terminale,L,spe_LV1/LV2,Histoire,2
Terminale,L,spe_LV1/LV2,Geographie,2
Terminale,L,spe_LV1/LV2,Philo,8
Terminale,L,spe_LV1/LV2,spe_LV1/LV2,3









